Word	Count
a	512
magnificent	2
castle	51
resplendent	2
bespeaking	1
great	7
wealth	1
and	412
power	1
the	1268
grounds	7
stonework	1
immaculate	1
once	13
upon	4
time	34
in	228
hidden	5
heart	7
of	263
france	3
handsome	2
young	4
prince	30
lived	3
beautiful	22
rack	5
focus	1
to	460
single	3
red	2
rose	29
clinging	1
bush	1
on	142
stormy	1
spring	3
night	5
weathered	1
hand	20
plucks	1
although	2
he	161
had	16
everything	6
his	197
desired	1
was	25
selfish	1
unkind	1
prince's	6
face	26
with	120
feather	4
brush	4
tall	3
valet	5
drapes	1
an	47
elaborately	1
bejeweled	1
coat	11
taxed	1
village	19
fill	2
most	13
objects	2
poof	5
are	53
running	5
late	8
master	18
it's	77
bring	8
more	21
light	19
oui	3
maitre	1
candelabra	13
is	187
lifted	3
preening	1
as	190
looks	52
at	92
himself	11
ornate	2
mirror	17
	1672
parties	1
people	10
room	23
filled	5
from	75
all	53
corners	1
world	12
each	11
display	2
for	74
pleasure	3
circle	4
eligible	1
maidens	2
bow	3
their	27
heads	6
seated	1
throne	1
chair	4
dominated	2
by	53
majestic	1
arms	9
snaps	3
fingers	5
impatiently	1
italian	1
maestro	13
who	36
smiles	12
revealing	3
comically	1
rotten	1
teeth	4
sits	8
harpsichord	5
motions	5
wife	9
steps	13
forward	3
diva	2
fills	2
voice	5
big	4
her	186
frame	3
performs	1
roundelay	1
several	5
debutantes:	1
oh	39
how	23
divine	1
glamour	1
music	19
magic	9
combine	1
see	52
so	46
anxious	1
shine	1
look	25
sign	1
that	99
enhances	1
chances	1
she'll	6
be	74
special	2
one	63
dance	6
speeds	1
up	100
connects	1
momentarily	2
someone	4
even	9
dazzling:	1
what	58
breathtaking	2
thrilling	1
array	1
every	12
dog	11
has	36
day	13
let	13
us	23
sing	6
passion	2
gusto	1
fit	3
bust	1
-	11
not	54
care	6
knock	7
stops	7
then	42
gust	1
wind	8
blows	2
open	22
windows	4
sconces	1
flicker	1
go	41
dark	13
figure	8
enters	7
silhouette	1
hobbling	1
cane	3
furious	2
grabs	12
lit	2
footman	3
rudely	1
pushes	3
through	45
crowd	10
sweeping	1
old	27
beggar	2
woman	8
shivering	1
rain	2
she	158
unexpected	1
intruder	1
arrived	2
seeking	2
shelter	3
bitter	1
storm	3
gift	1
offered	2
waves	5
off	38
begs	2
knees	3
staff	23
repulsed	1
