Word	Count
a	502
path	8
of	291
marigold	18
petals	14
leads	4
up	136
to	545
an	43
altar	4
lovingly	1
arranged	2
in	235
humble	1
cemetery	7
old	12
woman	13
lights	8
candle	1
as	79
the	1048
smoke	2
burning	2
copal	1
wood	2
dances	4
lyrically	1
upward	2
lifts	12
toward	22
lines	1
papel	7
picado	7
­-	1
cut	3
paper	3
sometimes	2
i	267
think	8
i'm	68
cursed	2
'cause	3
something	11
that	106
happened	4
before	15
was	42
even	12
born	2
story	3
begins	12
play	34
out	86
on	169
see	38
long	3
time	29
ago	3
there	23
this	66
family	112
images	1
come	28
life	23
illustrate	1
father	5
mother	5
and	355
little	16
girl	7
is	159
happy	2
papa	56
he	230
musician	32
plays	12
guitar	84
while	6
with	116
her	119
daughter	10
his	228
would	19
sing	16
dance	2
count	2
their	34
blessings	1
but	105
also	2
had	10
dream	7
for	93
world	15
one	44
day	9
left	11
never	31
returned	1
man	16
walks	7
down	37
road	2
slung	1
back	79
another	8
vignette	2
stands	7
doorway	5
watching	1
leave	9
two	9
feet	5
step	5
next	15
it	131
mama	103
hardened	1
she	84
shuts	2
door	13
didn't	8
have	65
cry	5
over	30
walkaway	1
after	19
banishing	1
all	50
music	40
from	97
gets	12
rid	1
husband's	1
instruments	6
records	2
found	9
way	24
provide	1
rolled	1
sleeves	2
learned	1
make	21
shoes	13
could	22
made	8
candy	2
amongst	4
stick	2
swings	2
at	83
strung	1
pinata	1
which	13
bursts	7
or	14
fireworks	6
go	44
off	60
background	2
sparkly	2
underwear	2
wrestlers	1
luchador	4
mask	3
hang	3
line	8
other	24
linens	1
no	127
chose	1
becomes	4
young	6
then	37
taught	3
later	4
son-in-law	1
introduces	1
suitor	1
business	3
grandkids	1
got	13
roped	1
grew	1
so	31
did	20
bunch	2
goofy	1
grandchildren	2
join	2
shoemaking	1
shoe	18
shop	4
full	10
torn	3
apart	6
held	2
them	31
together	15
you	344
my	128
great-	5
great	8
grandmother	2
imelda	82
tilt	1
ofrenda	31
room	14
-	4
where	24
photo	62
sits	4
top	4
beautiful	4
baby	3
lap	2
husband	3
beside	2
face	26
has	18
been	11
away	52
died	2
still	15
tells	2
dead	25
fade	6
present	4
wheelchair	1
she's	13
coco	49
hola	7
how	24
are	71
julio	15
actually	2
name	4
miguel	430
trouble	2
remembering	1
things	4
it's	60
good	15
talk	5
anyway	2
tell	8
pretty	2
much	10
everything	8
quick	3
cuts	3
used	5
run	9
like	50
pumps	1
arms	15
hands	22
fists	1
	1461
switches	2
flat	2
palms	1
now	25
faster	1
climbs	3
onto	21
bed	2
raised	1
winner	3
luchadora	1
leaps	4
pile	3
pillows	1
sending	3
feathers	1
who	43
wears	1
own	12
leans	9
dinner	1
table	6
dimple	7
side	10
not	42
eat	2
your	93
food	5
gives	12
kiss	2
head	30
abuelita	44
coco's	8
piles	3
extra	1
tamales	3
miguel's	46
plate	3
aw	1
you're	42
twig	1
mijo	9
some	22
more	28
gracias	11
asked	2
if	42
s-si	1
that's	22
what	59
thought	15
said	11
runs	21
our	24
house	1
just	48
adjusts	2
beloved	3
perks	6
ear	2
hooting	1
sound	6
idly	3
blows	2
into	55
glass	3
soda	1
bottle	3
takes	24
listens	2
truck	1
drives	1
by	42
window	14
blaring	1
radio	2
tunes	2
angrily	1
slams	2
shut	3
trio	1
gentlemen	2
serenade	1
each	24
they	58
stroll	1
compound	5
musicians	11
gate	8
chases	3
terrified	1
stumble	1
we're	13
only	19
mexico	1
hates	1
we	53
rivera	11
tinkering	1
be	54
heard	3
jogs	2
past	11
family's	6
fine	4
grabs	16
shine	6
box	4
heads	10
me	121
lunch	1
love	12
once	8
outside	5
makes	6
through	42
small	5
town	4
santa	5
cecilia	6
morning	1
am	10
rest	7
passes	8
sweeping	2
stoop	1
band	7
playing	8
tune	5
joins	4
air	11
further	4
street	5
goes	13
sounds	1
layer	2
bells	1
church	2
chime	1
harmony	2
blares	2
cumbia	1
rhythm	2
running	3
stand	4
roll	3
pan	3
dulce	3
tosses	4
vendor	4
coin	1
muchas	2
de	189
nada	1
these	5
scenes	1
synthesizes	1
can't	17
help	18
tap	1
rhythms	1
along	5
alebrijes	4
fantastical	3
wooden	3
animal	1
sculptures	2
different	4
tone	1
marimba	2
finishes	3
smack	2
trash	3
can	43
pops	3
scrappy	1
hairless	1
xolo	3
dog	15
dante	98
barks	4
jumps	8
lick	4
laughs	3
hey	28
holds	8
dante's	2
sit	1
shake	4
fist	2
bump	1
obeys	1
best	7
ability	1
boy	22
furless	1
friend	6
topples	2
mariachi	23
plaza	33
moments	4
rounds	6
corner	13
square	2
vendors	1
sell	1
sugar	2
skulls	1
marigolds	4
fill	1
know	49
supposed	5
ernesto	27
la	167
cruz	126
approaches	6
statue	8
handsome	2
heart	10
greatest	7
tour	4
group	5
guide	14
gathered	3
around	21
base	3
right	21
here	27
very	9
took	4
first	8
steps	19
becoming	1
most	6
singer	2
mexican	1
history	1
clips	5
hay	1
serenading	1
bystanders	1
train	2
car	1
started	2
total	2
nobody	2
when	26
played	4
people	5
fall	4
him	102
cruz's	31
films	3
tree	2
branch	1
galloping	1
horse	1
signature	3
skull	11
flourish	2
flair	1
starred	1
movies	3
coolest	1
fly	3
clip	16
features	3
dressed	5
hovering	1
priest	3
strings	4
front	13
cycling	1
sky	7
wrote	7
songs	14
performing	3
fancy	5
nightclub	1
remember	35
though	8
say	13
goodbye	4
don't	43
let	21
far	13
hold	6
secret	4
song	20
night	14
travel	6
hear	12
sad	5
lived	1
kind	1
about	25
until	9
1942	1
audience	27
swoons	1
absent-minded	1
stagehand	6
lever	1
ropes	1
pulleys	1
flying	2
again	15
subsequently	1
crushed	2
giant	12
bell	4
gazes	2
awe	1
wanna	17
weaves	1
mausoleum	4
peeks	6
catches	7
glimpse	2
look	32
get	60
feeling	5
connected	1
somehow	1
maybe	7
someday	1
too	15
wasn't	3
ay	25
muchacho	6
huh	2
comes	8
reverie	1
looks	66
whose	6
shining	2
oh	29
yeah	2
sorry	13
scrubbing	1
man's	2
shines	3
plucks	4
really	10
any	6
home	30
were	11
i'd	7
march	1
deal	2
mean	4
become	1
world's	1
hiding	2
sweet	5
skills	1
walked	2
loud	2
idea	6
points	9
gazebo	2
organizers	1
setting	2
show	14
unfurl	2
canvas	1
poster	3
reads	3
talent	8
ah	8
mira	2
they're	4
tonight	12
competition	4
dia	10
muertos	10
hero	2
should	11
sign	5
uh-uh	1
freak	2
scared	3
well	16
fun	1
making	6
considers	2
c'mon	8
always	3
seize	9
moment	21
appraises	1
offers	1
i'll	7
brows	3
rise	1
surprised	3
reaches	14
take	9
instrument	7
regarding	1
holding	7
holy	1
relic	1
spreads	4
fingers	5
across	14
anticipating	2
chord	1
startled	6
impulsively	1
throws	12
mariachi's	1
turns	36
marching	1
supplies	1
market	1
doing	6
um...uh	1
quickly	2
packs	1
rag	1
polishes	1
barrels	1
hits	1
hat	6
waves	2
grandson	13
alone	6
tricks	1
showing	2
gasps	10
shame	2
lords	1
aimed	1
directly	1
between	5
eyes	29
wants	3
part	4
keep	7
scrambles	4
snatching	1
ground	12
hugs	4
protectively	1
bosom	1
pobrecito	1
estas	1
bien	1
peppers	1
kisses	3
releases	1
embrace	1
better	4
than	5
place	4
will	20
