Word	Count
i	238
appeal	1
to	278
you	277
therefore	1
brothers	2
by	35
the	845
mercies	1
of	235
god	9
present	1
your	49
bodies	1
as	55
a	402
living	8
sacrifice	3
holy	1
and	374
acceptable	2
which	11
is	195
spiritual	1
worship	2
do	47
not	48
be	50
conformed	1
this	55
world	9
but	65
transformed	1
renewal	1
mind	3
that	84
testing	1
may	2
discern	1
what	72
will	16
good	39
perfect	7
-romans	1
12:1-2	1
suburban	1
house	27
with	99
bay	1
windows	3
front	32
lawn	12
something	22
on	131
his	195
tablet	2
illuminating	2
face	22
one	47
are	66
we	54
going	22
in	248
orlando	1
disney	1
tony	3
said	6
mickey	4
really	18
mickey;	1
it's	68
someone	8
else	3
there	41
mickey's	3
sweats	1
he	218
listens	1
jazz	1
phone	39
music	4
stops	16
running	5
checks	1
damn	8
he's	44
right	33
shaw's	4
glances	2
inside	12
seem	4
normal	3
content	1
andre	45
smiles	10
motion	3
detecting	1
security	2
light	10
floods	3
richard	3
looks	37
up	78
from	54
table	10
see	30
standing	3
rest	3
family	16
doesn't	22
notice	3
nancy	1
tends	1
who	31
squirms	1
her	69
chair	13
watches	9
protectively	1
also	8
saw	6
chef	1
must	8
have	38
changed	1
clothes	2
for	86
work	13
walks	21
getting	4
dark	13
suddenly	6
very	12
alone	9
vintage	1
creme-colored	1
porsche	1
boxter	1
tinted	1
roof	1
creeps	2
street	2
behind	19
following	4
him	78
driver's	9
pov	4
watching	11
breath	2
echoes	1
deep	6
tinny	1
if	25
it	169
were	11
into	47
coffee	5
can	35
through	51
car's	2
system	5
hear	14
an	41
english	2
french	2
language	1
tutorial	2
recording	2
pardon	1
me	90
where	15
nearest	4
restaurant	2
pardonnez-moi	1
ou	2
est	2
le	3
plus	7
proche	3
driver	11
repeat	1
feeling	6
followed	3
tie	1
shoe	1
car	38
waves	7
at	68
unseen	1
no	71
response	9
engine	2
purrs	1
begins	15
walking	10
again	30
slowly	14
too	29
does	7
peers	6
windshield	2
can't	12
tint	1
help	16
i'm	74
new	6
area	3
just	65
moved	2
here	37
down	35
evergreen	2
nothing	10
did	16
wrong	10
'cause--	1
continues	9
talk	7
isn't	11
heard	3
show	8
bathroom	6
pouvez-vous	5
montrer	1
la	6
salle	1
de	2
bain	1
prouche	1
hears	9
some	31
shit	30
alongside	1
after	11
few	11
steps	5
laughs	6
wait	13
minute	2
know	55
messing	1
right?..come	1
realizes	3
friend	10
could	12
considered	1
stalking	1
harassment	1
you're	28
sitting	1
deadly	1
weapon	1
so	48
that's	34
felony-type	1
say	14
then	24
hide	2
anger	3
anymore	1
starts	8
other	14
direction	4
backs	6
reverse	2
calm	2
don't	51
let	16
get	35
more	17
fuck	18
fed	1
approaches	7
passenger's	4
side	11
window	26
bangs	4
brooklyn	1
man	21
wanna	5
let's	12
ready	6
hey	16
talkin'	2
harder	2
three	5
times	3
passenger-side	1
rolls	3
find	15
hotel	2
m'aider	1
trouver	1
mon	2
andre's	5
expression	3
goes	20
terror	4
wears	5
tubular	2
metal	3
medieval	2
knight's	1
helmet	2
slanted	1
rectangular	1
eye	10
holes	1
raises	16
gun	6
silencer	1
turns	35
run	5
shot	4
back	72
stunned	2
stumbles	4
towards	18
exits	3
follows	2
please	7
call	10
police	7
s'il	2
vous	2
plait	2
appelez	2
falls	11
dart	1
sticks	1
out	86
reaches	6
shaw	2
masked	1
calmly	1
drags	1
himself	7
toward	5
everything	8
blurs	2
around	27
passes	2
eats	2
while	3
lays	6
their	22
time	23
buried	1
lift	1
limp	3
body	13
carries	2
move	4
always	2
happy	1
why	15
because	5
hasn't	6
aged	1
100	1
years	11
plops	1
padded	1
trunk	4
gets	19
drives	6
off	24
sun	3
rises	2
over	23
city	4
autumn	1
beautiful	7
small	10
clean	3
apartment	3
walls	3
decorated	1
fascinating	1
urban	3
photography	1
medicine	1
cabinet	2
shirtless	1
naturally	1
athletic	1
scrutinizes	1
reflection	5
touch	2
vanity	1
like	56
old	13
summer	2
camp	1
crush	2
rose	109
pastries	3
glass	8
she	86
smile	17
chris	334
spreads	1
shaving	1
cream	1
onto	4
shaves	1
postures	1
little	13
nicks	1
neck	3
smirks;	1
deserved	1
clothed	1
professional	2
camera	8
flips	3
striking	1
images	3
digital	1
display	2
much	12
ones	1
framed	3
talented	1
photographer	2
sid	17
black	22
dog	9
buzzer	1
rings	4
opens	9
door	40
stands	19
outside	7
hands	18
full	5
has	29
two	24
coffees	1
bags	6
smirks	1
couldn't	3
decide	1
takes	20
tray	1
pulls	7
they	66
kiss	3
sweets	1
mound	1
sits	23
lap	2
strokes	1
morning	3
poor	1
thing	15
even	13
pet	1
kidding	2
when	14
best	4
fuckin'	6
pets	1
life	7
how	24
come	19
whenever	1
acts	1
been	26
totally	3
neglected	1
`cause	5
got	33
wrapped	1
paw	1
oh	41
yeah	61
picks	4
foot	1
sweetly	1
massages	1
melts	1
packs	3
bag	8
luggage	3
bed	19
toothbrush	1
deodorant	1
check	3
puts	9
cigarette	13
mouth	10
pops	4
grabs	12
breaks	1
tries	6
feign	1
incredulousness	1
amused	1
gonna	14
whole	6
weekend	2
quit	4
remember	9
nervous	4
they're	9
love	11
smart	2
sweet	2
handsome	4
creative	1
answer	4
silence	4
moment	8
taken	5
aback	1
question	5
think	18
should	7
seems	6
might	5
give	10
them	35
heads	5
"mom	1
dad	8
my	69
boyfriend	4
coming	8
weekend"	1
first	14
guy	14
you'd	5
ever	7
dated	2
uncharted	1
territory	1
embraces	2
baby	7
fine	6
would	4
legit	1
vote	1
obama	1
third	1
yes	11
want	14
about	27
embarrassing	3
promise	2
nods	9
kisses	3
tv	7
stand	6
leave	10
bye	3
soon	3
blows	1
enters	6
shiny	1
white	11
bmw	1
x5	1
seat	11
passenger	4
mess	3
hospital	3
shut	5
sanitary	1
moves	3
fast	9
food	4
wrappers	1
selfie	3
hand	24
leg	1
drive	3
leaves	6
soar	1
countryside;	1
road	6
flanked	1
woods	7
hums	2
passengers	2
passing	1
trees	3
snaps	5
test	1
long	12
10	1
months	4
year	5
basically;	1
longest	1
i've	8
away	30
another	12
promptly	1
whoa	6
grown	2
says	3
wants	2
able	2
too-	1
-	8
throws	3
okay	24
dollar	1
basically	2
throwin'	1
dollars	1
shouldn't	4
bought	1
didn't	18
buy	1
rod	39
almost	9
forgot	5
cell	4
`sup	1
talks	1
trouble	2
standard	1
procedure	3
gary	2
thinkin'	1
bitch	2
hijack	1
airplane	1
bomb	1
wheelchair	2
watch	10
next	9
9/11	1
geriatric	1
look	12
real	6
quick	2
`c'	1
boy	7
credit	1
forget	2
shit;	1
bad	4
apology	3
accepted	1
how's	3
`lil	1
miss	4
rosie	1
she's	16
good.--	1
hi	8
whattup	1
babygirl	1
better	6
bring	12
piece	3
means	2
picked	1
