Word	Count
the	1356
worst	1
imaginable	1
news	2
war	7
thrives	1
because	4
enough	7
men	20
still	21
love	9
it	192
over	65
buzzing	2
sound	10
of	384
an	74
electric	1
engine	4
we--	1
a	555
grainy	1
low-resolution	1
view	12
seen	8
from	71
sixteen	2
inches	2
above	7
street	20
level	1
and	438
we're	23
moving	14
fast	6
--	162
nauseatingly	1
this	93
angle	1
close	14
to	500
ground	17
we	87
fly	2
down	90
road	27
strewn	2
with	117
garbage	7
munitions	1
trash	5
rubber	2
animal	3
shit	16
all	38
which	14
odd	2
jarring	1
perspective	2
looks	74
gigantic	1
monstrous	1
zoom	4
towards	22
crumpled	2
coke	2
can	41
white	22
`c'	1
growing	1
enormous	1
on	205
screen	8
filling	1
like	51
skyscraper	1
smash	1
into	76
barrel	2
ahead	9
rag	1
flutters	1
blocks	8
then	50
tumbles	1
away	35
as	78
downhill	1
see	60
nothing	10
but	81
gray	1
sand	21
back	91
up	119
hill	2
off	56
catching	1
air	11
flash	6
horizon	1
line	7
bright	7
sun	13
land	1
hard	9
packed	1
in	325
one	85
particular	1
pile	12
is	272
topped	1
plastic	12
bag	9
stop	13
puffs	4
dust	12
fluttering	4
glide	1
across	7
flies	5
advancing	3
slowly	7
inch	4
by	37
edge	4
for	82
our	13
first	16
glimpse	1
inside	24
rusty	2
artillery	11
shell	12
hand	32
array	2
cameras	1
around	39
baghdad	8
iraq	4
-	51
january	2
2005	2
taking	4
place	7
dusty	5
stretch	1
quiet	1
section	3
barren	1
except	2
few	9
shops	2
some	22
cement	1
houses	2
couple	1
parked	7
cars	3
u.s	1
military	9
has	34
control	4
city	8
insurgent	7
groups	1
are	73
mounting	1
fresh	1
attacks	1
attempt	2
disrupt	1
upcoming	1
elections	1
31	1
they've	3
adopted	1
deadly	1
new	8
tactic	1
using	2
i.e.d.s	1
improvised	2
explosive	3
devices	1
ambush	1
american	10
troops	5
body	19
count	3
rising	3
response	2
army	7
deployed	1
last	12
its	12
elite	2
bomb	50
squad	1
units	1
hoping	3
that	128
these	13
three	24
man	75
teams	1
disarm	3
bombs	6
before	14
they	94
explode	2
stem	1
tide	1
destruction	3
far	12
gunshots	1
call	8
prayer	3
bakery	1
sandwich	1
shop	4
butcher	6
computer	4
looking	21
at	117
same	6
image	2
metal	20
summer	1
desert	8
median	1
temperature	1
clear	9
morning	2
110	1
degrees	1
it's	63
left	13
thompson	28
	238
tears	3
open	21
mushy	1
snicker's	1
he	231
fleshy	1
arms	4
middle	5
there's	15
real	3
muscle	1
underneath	2
flab	1
truth	1
be	58
told	3
after	11
so	46
many	7
years	2
eod	18
he's	57
lost	6
need	33
have	49
show-off	1
build	2
going	49
strapping	2
iowa	1
farm	2
boy	15
thick	5
bailing	1
hay	1
contrast	1
his	299
bulky	1
frame	3
face	43
soft	1
kind	3
relaxed	3
demeanor	2
might	6
lead	1
you	277
think	23
ever	5
bothers	1
sanborn	228
if	46
thought	5
you'd	4
mistaken	1
joining	1
was	30
intelligence	2
quit	1
intel	3
too	18
easy	3
little	17
laptop	1
now	51
almost	2
full	5
there	37
closer	7
i	163
want	21
ojive	1
nose	5
cone	2
third	3
soldier	26
leans	7
better	9
look	36
youngest	1
group	4
fighter	3
others	1
also	2
reader	1
something	19
thinker	1
eldridge	157
crouches	2
behind	24
other	15
two	33
soldiers	25
sipping	1
bottle	5
water	16
eyes	21
never	4
leaving	2
push	3
can't	17
get	71
pretend	1
your	56
dick	2
i'm	74
pretending	1
laughs	3
clearly	3
likes	3
let	10
me	59
try	4
give	16
second	5
crack	4
okay	13
change	10
places	5
controls	1
hello	3
mamma	1
one-five-five	1
gets	25
goes	15
humvee	52
fishes	1
yeah	27
do	44
damage	2
charge	2
already	11
approaching	3
four	6
c4	5
done	12
know	44
what	66
figured	3
hey	25
ninety	2
pounds	4
tiny	3
toy	1
robot	6
distance	16
either	5
side	14
infantry	2
stores	1
stands	7
takes	16
good	27
surroundings	1
blast	7
roll	6
out	139
most	1
shrapnel	3
rain	1
umbrella	1
pattern	1
smaller	1
pieces	3
fragments	1
will	34
come	13
way	14
we'll	7
truck	13
idea	2
would	8
standing	13
amuses	2
i'll	16
wrong	1
owen	11
let's	12
area	10
cleared--	1
--as	1
best	5
load	3
bot	10
double	1
times	2
nearby	8
together	9
herd	1
various	3
bystanders	1
downrange	14
dutifully	1
makes	7
return	2
voyage	1
time	27
towing	1
cart	9
loaded	4
blasting	8
cap	9
coil	1
unspooling	2
detonation	2
wire	16
hits	9
bump	2
causing	2
tumble	4
where	26
begins	10
uprange	31
everyone	5
cringes	1
doesn't	22
damn	6
rolled	1
gully	1
reach	1
wiggles	1
stick	2
not	52
happening	2
matt	2
bot's	1
keep	13
trying	11
tries	12
again	18
no	63
dice	2
you're	39
right	24
go	33
don't	62
nods	21
wait	4
here	42
neighborhood	3
anyway	5
just	42
dressed	5
astronaut	1
suit	27
helmet	20
crossed	1
michelin	1
weight	3
complexity	1
put	19
or	18
kneels	3
guides	1
thompson's	5
feet	11
suit's	1
black	14
boots	7
lashes	1
series	2
velcro	3
straps	2
secure	2
armor	4
squire	1
working	6
knight	5
strap	4
near	10
crotch	2
prompts	1
wisecrack	1
watch	14
had	12
children	3
sergeant	42
my	39
options	1
twists	2
chest	6
protector	1
tight	3
brow	2
furrowed	1
squints	1
that's	23
mean	4
motherfucker	5
make	10
approach	5
power-lines	1
clean	7
sight	7
alright	10
when	25
plug	1
blow	9
boom	8
more	21
people	9
about	27
them	36
they're	9
leave	8
us	13
their	36
crater	18
ear	3
ache	1
earplugs	1
ready	16
craving	1
hamburger	1
strange	3
next	12
glass	7
front	17
seals	2
attaches	2
breathing	8
hose	1
taps	4
boss	2
shoulder	4
happy	4
trails	1
blaster	21
copy	27
turns	36
walk	19
toward	9
stride	1
slowed	1
eighty-pound	1
suit...he	1
clunks	1
clouding	2
moves	16
past	11
mounds	1
charred	5
rotting	1
stuff	1
inner	2
tubes	3
soda	1
bottles	2
cans	1
steaming	2
waste	2
bits	6
passed	2
question	3
bags	5
sweat	10
slides	2
200	2
meters	7
boiling	1
rasp	2
loud	4
sanborn's	17
walkie-	1
talkie	1
walks	18
knot	1
floats	1
lifts	5
arm	2
disappear	1
glints	1
car	34
momentarily	2
bleaches	1
mask	4
young	9
girl	2
infant	1
baby	3
her	10
appears	7
