Word	Count
rain	9
lashing	1
a	560
windowpane	1
piano	11
plays	3
somewhere	4
off	60
screen	3
beethoven's	1
fur	2
elise	2
little	31
boy	20
gazes	3
out	174
into	152
the	1458
storm	19
nervous	2
eager	1
sweet	2
you	302
sure	12
it's	78
not	66
too	39
bad	8
there	71
pile	6
of	415
pillows	2
surrounded	3
	715
by	57
tissues	1
and	593
sheets	4
newspaper	2
headlines	1
toys	3
tell	16
us	35
this	92
is	172
late	3
80's	1
--	28
october	2
1987	2
to	549
be	58
exact	1
he	274
puts	4
finishing	1
touches	3
on	176
paper	10
boat	10
don't	74
such	4
wuss	1
i'd	4
come	27
if	48
i	219
weren't	3
dying	1
now	62
get	46
paraffin	3
in	338
cellar	16
want	31
it	290
float	14
or	40
georgie	36
go	57
storm's	1
gonna	15
last	24
forever	2
okay	23
willy	16
george	21
jumps	5
up	173
obediently	2
goes	23
hurries	2
downstairs	2
catches	4
glimpse	1
their	66
an	43
earthy	1
beauty	1
transported	1
another	21
world	6
while	9
she	103
george's	4
stomach	2
sinks	3
as	104
comes	25
face	36
with	161
door	75
only	33
thing	12
between	12
monster	2
basement	13
his	303
imagination	1
walkie-talkie	6
squawks	1
next	17
will	246
sarcastic	1
walkie-	1
neighbor	1
filters	1
through	45
plastic	3
speaker	1
willy-boy	1
annoyed	2
picks	12
looking	17
blasted	1
window	34
trashmouth	1
they	124
wave	4
at	132
each	11
other	28
richie	85
bug-eyed	1
glasses	7
turns	38
middle-finger	1
thought	14
were	19
sick	7
am	11
mortal	1
flinging	1
open	32
ventures	1
arm	15
dark	25
void	5
gropes	3
around	62
finds	14
light	20
switch	1
nothing	27
snatches	4
back	118
oh	21
balls	3
power	2
glares	1
him	115
taunting	1
later	4
responds	1
own	11
call	8
from	142
what	107
was	52
that	102
coughs	4
hard	12
tissue	1
half-impatient	1
half-joking:	1
are	54
making	6
got	27
go-	1
wait-	2
rubs	1
gooseflesh	1
arms	6
i'm	59
getting	9
going	39
steels	3
himself	16
plunges	4
scrambles	3
down	102
four	3
steps	15
shelf	4
sifts	2
junk	3
fast	4
can:	1
shoe-polish	1
rags	4
dusty	2
bag	7
colored	1
balloons	4
broken	4
flashlight	2
two	11
mostly	2
empty	7
bottles	2
windex	1
old	23
can	37
turtle	5
wax	2
stops	14
upon	2
cartoon	1
hypnotic	1
sensing	5
snaps	3
grabs	32
box	3
near	9
stairs	20
slamming	1
our/it's	1
melts	1
chunk	1
match	1
ceramic	1
bowl	2
then	41
dips	3
finger	4
hot	7
liquid	1
smears	1
along	7
sides	2
do	61
some	19
just	85
any	20
my	69
blankets	1
mom'll	1
freak	2
spreads	2
cool	1
finish	2
gives	10
she's	6
all	128
yours	3
you're	40
captain	2
ain't	6
ya	2
captains	1
boats	1
put	10
your	74
stuff	10
you'll	18
wind	8
stuck	5
bed	7
like	121
stupid	3
brother	11
both	12
grin	1
cozy	2
room	32
full	8
cheerful	1
brotherly	1
love	7
kisses	1
cheek	1
startling	1
thanks	6
looks	102
rain-lashed	1
still	29
playing	7
he's	30
suddenly	16
filled	7
sense	4
foreboding	2
careful	4
dead	17
traffic	3
sways	2
overhead	5
its	21
dripping	2
black	19
lenses	1
gazing	1
yellow	6
slicker	1
red	10
galoshes	2
races	7
street	16
past	23
houses	2
after	13
which	15
sluices	1
gutter	2
swollen	2
rushing	5
rainwater	2
taps	1
hood	1
sounding	1
ears	2
shed	1
roof	5
comforting	2
almost	11
sound	13
buckles	1
make	11
merry	2
jingle	1
whistles	1
blockade	1
sawhorses	1
marked	2
dept	1
derry	33
public	3
works	3
where	33
gouge	1
blacktop	3
sends	1
sweeping	2
diagonally	1
across	13
toward	18
drain	19
trying	9
grab	4
before	10
swallowed	1
slips	4
spills	2
crying	2
pain	5
surfs	1
circles	1
twice	1
look	48
ready	9
cry	4
willy's	1
kill	15
me	82
walks	17
over	72
peers	3
water	86
falling	3
darkness	9
dank	1
hollow	1
within	7
eyes	45
peer	1
greasy	3
white	15
clown	22
bozo	1
ronald	1
mcdonald	1
but	64
something	64
more	20
freakish	1
19th-century	1
acrobat	1
bald	3
recoils	5
shocked	2
pennywise's	6
presence	2
voice	7
perfectly	1
pleasant	1
reasonable	1
rises	4
hello	3
behind	40
attention	7
her	100
cat	6
scraping	2
wet	9
innards	2
tuna	1
plate	1
sill	2
lost	7
expression	4
mellows	1
fear	4
child-like	1
wonder	1
seeing	7
circus	4
bear	2
balanced	1
ball	6
how	25
did	20
why	20
course	3
bleeeew	1
away	37
blew	1
whole	8
how'd	3
join	2
faint	2
off-key	1
calliope	1
music	3
heard	4
inches	5
closer	4
cotton	4
candy	3
yes	8
bearded	1
women	4
elephant	1
shit	20
could	13
takes	19
one	70
fatal	1
step	8
forward	5
indeed	3
everything	6
here	55
floats	4
when	32
clown's	1
sing-songy	1
curdles	1
horrible	2
primal	1
even	14
seized	1
unusually	1
long	16
claw-like	2
hand	28
screeeeeaaaaam	1
rings	4
sewers	7
we	96
woman	10
pleased	2
appetite	1
does	17
notice	2
rack	1
focus	4
