Word	Count
another	18
cars	5
are	42
at	118
a	401
standstill	1
it's	82
horrific	1
traffic	4
jam	4
morning	5
rush	1
hour	3
sun	1
beating	1
down	21
asphalt	1
shimmering	2
in	162
the	598
heat	1
blown-out	1
downtown	1
l.a	9
skyline	1
hovers	1
distance	1
we	116
drift	10
past	6
more	25
hear	13
one	42
snippet	1
of	128
audio	1
after	7
driver	1
taps	3
his	65
steering	1
wheel	2
to	286
prog	1
rock	1
sings	3
opera	1
third	1
raps	1
along	6
hip-hop	1
track	4
move	11
from	42
radio	2
interview	2
french	1
ballad	1
techno	1
until	1
finally	11
begin	4
...a	3
new	22
original	1
piece	7
music	32
[another	1
day	33
sun]	1
settle	2
on	128
car	29
which	1
this	73
tune	7
is	83
playing	17
lane	2
without	6
single	5
cut	16
we've	8
found	3
ourselves	3
full-	2
fledged	2
musical	1
number	4
drivers	1
leap	1
car-tops	1
dance	12
jerome	1
robbins-style	1
making	3
use	2
road	6
and	248
hot	2
gleam	1
automobiles	1
arms	2
swaying	1
feet	4
banging	1
dancers	3
darting	1
as	77
blasts	1
weave	1
swirl	1
dart	1
between	3
around	13
taking	2
magic	1
song	12
comes	4
dramatic	1
stop	9
flash	1
title	5
card:	2
winter	4
a1	1
	2334
1983	1
dodge	1
riviera	1
it	138
monk's	1
"japanese	1
folk	1
song"	1
but	45
he	86
keeps	3
stopping	2
over	21
revision	84
2	2
b1	1
omit	45
c1	1
further	3
up	67
ahead	4
light-green	1
"no"	2
have	28
toughened	1
her	139
she's	20
still	14
dreamer	1
she	115
seems	11
be	50
phone	8
speaking	2
into	45
car's	1
system	1
...and	8
i	170
swear	3
god	13
was	37
wrecked	2
pure	3
insanity	1
mia	210
stops	13
thinks	9
mutters	1
herself:	1
"insanity"	1
then	44
leans	2
grabs	4
paper	1
passenger	1
seat	5
script	7
lunacy	2
oh	12
know	31
too	13
focused	1
lines	2
notice	3
jerked	1
back	54
reality	2
honking	4
behind	11
swerves	1
next	9
sebastian	160
gives	8
him	45
finger	2
follow	12
drives	9
3	2
4	2
int	53
coffee	16
shop	8
-	55
doesn't	13
taste	1
like	40
almond	1
milk	1
can	27
see	46
carton	1
hands	8
customer	3
looks	77
i'll	9
black	4
gets	12
quickly	4
sneaks	1
look	28
hidden	1
underneath	3
counter	3
same	10
saw	6
don't	36
woman's	1
face	6
all	35
eyes	15
cappuccino	1
please	3
nods	13
made	5
manager	4
takes	19
us	9
no	46
insist	1
pays	2
smiles	20
drops	3
bill	3
tip	2
jar	4
watches	5
woman	2
walks	9
off	27
joined	1
by	28
studio	6
"ignore"	1
time	15
pops	2
phone's	1
screen:	1
4:07	1
shit	5
where	12
do	52
you	201
think	21
you're	35
going	35
you'd	2
better	7
here	22
early	3
tomorrow	3
ok	17
5	2
audition	17
room	16
mia's	21
thick	2
coat	1
covering	1
stained	1
shirt	3
nerves	4
practically	1
visible	2
talks	2
pull	3
waiting	7
`til	2
denver	1
tell	9
right	18
understand	3
just	49
an	32
assistant	6
appears	3
through	19
glass	3
door	25
waving	1
casting	5
director:	1
yoohoo	1
come	14
second	9
director	4
waves	6
scurries	1
shows	1
boss	6
post-it	2
stands	4
there	21
trying	7
hold	4
onto	5
tears	3
emotion	2
reads	1
...i'll	1
call	9
i'm	55
almost	7
done	8
out	52
waits	2
maintain	1
what	58
we're	12
good	20
thanks	6
for	68
coming	9
beat	28
6	2
lobby	3
exits	4
edge	2
passes	10
beautiful	7
redhead	1
also	3
redheads	1
enters	10
exhausted	1
heads	14
old	23
movie	13
posters	2
hang	1
walls	3
including	1
big	4
ingrid	2
bergman	2
bed	7
there's	9
shelf	1
filled	3
with	46
trinkets:	2
globe	3
blue-and-red	1
suitcase	3
shoe	1
blister	1
sole	1
8	2
to:	8
bathroom	4
showered	1
wrapped	1
towel	1
hums	2
herself	5
mirror	1
fogged	1
turns	19
vent	2
mist	1
thickens	1
dabs	1
some	8
away	10
dims	1
lights	16
fog	1
place	8
reflection	2
those	6
soft-focus	1
hollywood	5
close-ups	2
brushes	1
hair	4
holy	2
mother	2
ever	8
heard	7
wanted	5
give	7
entrance	2
how'd	4
go	22
eh	2
jen	2
or	14
rachel	2
who	10
they're	4
worst	2
if	15
they	66
were	8
bet	2
why	23
convention	1
two	14
minutes	3
people	17
can't	19
working	1
did	15
say	14
"working"	1
a8	1
inside	9
closes	2
town	3
last	8
thing	11
wants	7
now	37
b8	1
hallway	2
find	13
tracy	5
pounding	3
yes	9
things	9
didn't	10
well	18
today	2
four	3
my	30
inbox	1
that	65
perfect	2
will	8
submit	1
it'll	3
fun	5
bunch	2
social	1
climbers	1
packed	3
houses	1
exactly	3
familiar	1
alexis	5
moves	13
perfume	1
dress	3
lighting	3
7	1
when	16
else	5
get	26
every	4
cliche	1
crammed	1
home	10
lex	1
disappointed	3
nothing	5
make	8
party	4
humanity	1
its	5
finest	1
breaks	1
[someone	1
crowd]	1
play-acts	1
cliches	2
represent	1
caitlin	3
join	2
giddy	2
playful	1
help	2
laugh	6
roommates	3
sing	5
hoping	1
persuade	1
night's	1
revelry	2
remains	2
reluctant	2
stays	3
head	11
starting	4
wonder:	1
friends	1
outside	11
marching	1
across	7
courtyard	2
toward	6
street	8
characters	3
their	22
way	12
together	7
dive	1
dissolve	3
10	2
a10	1
old-fashioned	2
montage	1
night	30
town:	1
neon	1
signs	3
overflowing	1
champagne	1
glasses	1
soon	5
enough	7
valet	4
lined	2
big-glass	1
hilltop	1
pad	1
surroundings	2
d.j	1
turning	1
tables	1
fat	1
producer	1
dancing	2
twenty-something	1
trio	1
agents	1
glad-handing	1
each	18
other	24
seeing	3
alone	6
young	4
man	7
swoops	1
hit	3
obscenely	1
long	10
slips	4
them	15
a13	1
moment	27
joy	4
seconds	3
verse	1
sung	1
private	1
belongs	1
style:	1
less	1
brash	1
far	3
vulnerable	1
once	8
finished	6
breath	4
steels	1
crowd	6
everything	5
set	5
snail's	1
pace	1
crazed	1
carousers	1
moving	5
slow	1
motion	1
sadness	1
pain	2
gradually	2
ramp	1
snow	1
falling	1
above	4
climax	1
everyone	3
joins	3
blast	3
fireworks	1
c13	1
close	9
sign:	1
"no	1
parking	2
anytime:	1
tow-away	1
zone"	1
9	1
sight	4
reaches	2
purse	2
pulls	14
cell	4
dead	1
15	2
16	2
17	2
a17	1
b17	1
18	2
trudges	1
steep	1
hill	4
unwieldy	1
heels	2
hour-and-a-half	1
walk	4
crosses	3
roads	1
lots	1
navigates	1
stretches	1
sidewalk	1
shrubbery	1
being	5
sure	7
follows	3
sound	5
several	1
doors	1
has	17
ahhhhhhhhhhhhhhhhhhhhhht	1
101	2
began	2
shaking	1
21	2
30's	1
deco	4
building	5
sign	6
door:	1
"van	1
beek"	1
newer	1
sub-heading	1
below:	1
"tapas	1
&	1
tunes"	1
opens	5
employees	2
step	2
setting	1
recognize	7
guy	6
23a	1
furniture	1
decoration	1
boxes	5
dusty	1
black-and-white	1
photographs	1
unused	1
instruments	3
floor	6
steinway	1
upright	1
piano	13
center	3
gotta	2
breaking	1
37	2
50	3
dressed	3
mom	7
dad	6
would	4
sit	7
serious	7
hoagy	1
carmichael	1
sat	1
stool	1
baked	1
potato	1
gonna	10
throw	4
wonder	2
brought	1
rug	2
need	10
yeah	16
told	12
miles	2
davis	1
pissed	1
that's	15
insulting	1
11	1
shakes	5
head:	2
unbelievable	2
tosses	2
side	13
unpack	3
these	7
club	24
girl	4
broke	1
stalking	1
not	40
they've	5
turned	1
tapas-samba	1
believe	4
tapas	1
while	6
samba	2
someone	5
want	20
meet	5
anyone	3
you'll	3
uh-huh	3
does	7
jazz	27
probably	7
talk	4
about	19
weather	1
i'd	3
he's	21
got	23
tattoo	1
heart	4
gold	1
12	1
how	11
long's	1
been	16
live	3
hermit	1
driving	1
insurance	2
am	4
had	7
very	2
plan	2
future	3
fault	1
shanghai'ed	1
"shanghai'ed"	1
ripped	1
what's	8
