Word	Count
a	792
beautiful	3
couple	6
dance	1
on	223
giant	5
can	45
of	360
red-bull-like	1
drink--	1
hypno	3
the	1546
label	2
morphs	1
to	573
different	4
flavors	1
colored	4
light	17
from	141
billboard	3
flickers	1
over	51
bullet	10
riddled	2
sign:	1
route	1
85	2
u.s	2
border	10
el	5
paso	2
texas	2
beneath	9
sign	9
is	167
long	27
black	15
limousine	1
cars	3
whip	2
past	14
highway	8
then	92
van	14
passes	16
blasting	3
some	48
future	2
version	3
techno	1
latino	1
hip	2
hop	2
squeal	2
tires	5
os	2
now	76
music	9
gets	28
louder	7
as	216
returns	3
cruising	1
slowly	5
limo	36
before	18
pulling	7
into	67
lot	13
five	5
bangers	5
bail	1
out	163
and	560
check	4
stretch	7
doors	14
are	101
locked	4
windows	6
tinted	2
so	34
they	129
can't	24
see	51
what's	6
inside	25
but	96
wheels	6
like	69
what	93
with	168
speed	4
pit	1
crew	2
open	22
back	132
come	28
tools	4
jack	2
we	124
move	17
bench	6
empty	7
bottles	3
fast	9
food	7
wrappers	2
sleeping	8
man's	4
face	29
ratchets	1
frame	2
he	301
opens	18
his	311
red	18
eyes	89
wolverine	8
blinks	7
dazed	6
feeling	2
car	26
lurching	1
upward	6
older	7
than	15
we've	2
seen	11
him	172
clutches	1
tequila	3
bottle	14
door	57
drops	10
dirt	12
booted	1
leg	4
steps	26
logan	458
shuffles	3
stiff	2
other	50
side	37
where	33
work	11
removing	1
lit	2
by	71
...uh	1
please	21
stop	34
guys	5
those	20
chrome	1
plated	2
lugs	2
all	68
turn	16
pull	8
guns	11
drunk	3
driver	7
just	46
keeps	7
talking	5
slurring	1
you're	41
gonna	14
strip	2
`em	2
plating	1
flakes	1
off	67
you	310
know	48
jittery	2
banger	5
cocks	5
shotgun	5
final	124
shooting	126
-	127
8/23/2016	124
	4029
2	1
it's	51
lease	1
no	64
one	80
wants	3
pay	8
ride	10
in	441
a--	2
--	113
fires	8
blows	3
right	23
feet	13
fuck	12
might	4
be	40
good	20
time	19
talk	9
about	42
"fights"	1
described	1
next	8
100	2
or	34
pages	2
basically	1
if	28
make	12
for	133
hyper	1
choreographed	1
gravity	1
defying	1
city-block	1
destroying	1
cg	1
fuckathon	1
this	98
ain't	3
your	72
movie	3
flick	3
people	25
will	77
get	66
hurt	8
killed	6
when	44
shit	16
falls	12
them	101
hit	11
something	32
big	16
heavy	3
say	9
should	6
anyone	4
our	16
story	1
have	67
misfortune	1
fall	6
roof	1
window	26
won't	7
bounce	4
die	4
hero	3
so-called	1
eternal	1
life	13
healing	7
well	16
he's	33
keep	20
reading	3
you'll	4
discover	1
logan's	42
ass	4
kicked	1
that	111
it	213
clear	2
abilities	1
were	28
yes	19
also	11
fading	4
adamantium	8
implants	1
leeching	1
system	2
causing	1
chronic	1
pain	9
diminished	1
hence	1
booze	4
painkiller	1
means	4
go	41
ahead	15
worry	3
oh	13
yeah--	1
smoke	1
settles	1
crowbar-toting	1
angrily	2
chews	1
jitters	2
spanish	8
firing	2
others	6
resume	2
their	53
none	2
aware	2
getting	8
up	159
till	4
seriously	2
don't	41
wanna	4
do	35
react	4
bafflement	1
ad-lib	1
reactions	1
nervous	4
chuckles	1
crowbar	2
presses	2
down	57
jitter's	1
gun	18
moves	15
hear	18
familiar	2
snikt	4
claws	21
extend	2
hands	21
mostly	4
still	31
frowning	1
at	247
bad	30
hand	48
when--	8
thwacks	1
skull	3
metallic	3
ring	3
balance	1
pissed	3
swings	6
converge	1
